id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada,objectid
52483,90004035,90004,35,TERMINAL DEL NORTE-TERMINAL DEL SUR,313,CIRCULAR,COMBUSES,-75.57987739,6.23311017,DESTINO-ORIGEN,CIRCULAR 313,REGLAMENTARIA,1185
52429,90104016,90104,16,ALFONSO LÓPEZ - VIEJO TERMINAL,261A,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.58079548,6.2920263,ORIGEN-DESTINO,2B,REGLAMENTARIA,1186
52106,90013032,90013,32,RUTA DE LA SALUD IZQUIERDA,309,CIRCULAR,COINVETRANS,-75.58702308,6.25874498,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1187
51330,90016016,90016,16,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.60266087,6.24244826,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA,1188
50008,90086011,90086,11,PALMITAS-CENTRO,255P,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.6949441,6.35052814,ORIGEN-DESTINO,2A,REGLAMENTARIA,1189
50917,90006004,90006,4,CIRCULAR,301,CIRCULAR,COONATRA,-75.61296154,6.23216493,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1190
52132,90073033,90073,33,PAJARITO,250AP,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58621566,6.25925697,DESTINO-ORIGEN,2A,REGLAMENTARIA,1191
52408,90097008,90097,8,BRISAS,260BR,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58128522,6.28187688,ORIGEN-DESTINO,2A,REGLAMENTARIA,1192
53397,90012019,90012,19,RUTA DE LA SALUD DERECHA DIRECTA,308D,CIRCULAR,COINVETRANS,-75.56611718,6.25636055,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1193
52190,90075032,90075,32,KENNEDY,252,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58489441,6.25806739,DESTINO-ORIGEN,2A,REGLAMENTARIA,1194
53899,90009026,90009,26,COMERCIAL HOTELERA DERECHA,304,CIRCULAR,INVETRANS,-75.55854539,6.21244622,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1195
52257,90014006,90014,6,RUTA DE LA SALUD IZQUIERDA DIRECTA,309D,CIRCULAR,COINVETRANS,-75.58369215,6.27949799,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1196
50658,90085008,90085,8,METROCABLE LA AURORA,255ID,INTEGRADA,RÁPIDO SAN CRISTÓBAL,-75.62187274,6.27852948,ORIGEN-DESTINO,2A,REGLAMENTARIA,1197
