id_ruta;nombre;codigo;sistema;tipo;empresa;longitud;recorrido;from_date
90287;ESTADIO-LAURELES SANTA TERESITA;193II;8A;INTEGRADA;AUTOBUSES POBLADO LAURELES;1385927;ORIGEN_DESTINO;19/10/2021 0:00
90099;ÉXITO;267;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;2374132;ORIGEN_DESTINO;27/08/2024 0:00
90292;ÉXITO CORAZÓN;201;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;2130194;ORIGEN_DESTINO;19/10/2021 0:00
90293;ÉXITO CORAZÓN;201;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;2163733;ORIGEN_DESTINO;19/10/2021 0:00
90218;FERROCARRIL MINORISTA;37 - 39;6C;DIRECTA CENTRO;AUTOCOL;2273699;ORIGEN_DESTINO;13/07/2020 0:00
90119;FLORENCIA;281;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;216562;ORIGEN_DESTINO;27/08/2024 0:00
90122;FLORENCIA-ESTACIÓN ACEVEDO;283I;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;992601;ORIGEN_DESTINO;27/08/2024 0:00
90322;FLORESTA;243I;8A;INTEGRADA;COONATRA;71138;ORIGEN_DESTINO;27/08/2024 0:00
90323;FLORESTA DIRECTA;243ID;8A;INTEGRADA;COONATRA;5078;ORIGEN_DESTINO;27/08/2024 0:00
90317;FLORESTA ESTADIO-ORIENTAL;240;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;1977178;ORIGEN_DESTINO;19/10/2021 0:00
90313;GABRIELA;227I-B;8A;INTEGRADA;METROSAN;316125;ORIGEN_DESTINO;27/08/2024 0:00
90247;GOLONDRINAS;105;6F;DIRECTA CENTRO;COOTRANSMALLAT;1104172;ORIGEN_DESTINO;27/08/2024 0:00
90250;GOLONDRINAS HORARIO ESPECIAL;105;6F;DIRECTA CENTRO;COOTRANSMALLAT;768261;ORIGEN_DESTINO;27/08/2024 0:00
